Description,Cells,Marker,Imaging Source,Resource Location,Start Time,End Time,Comments
ABplppapaap,ABplppapaap,cnd-1,l:\shahp2\VNC\OU415\20150316_closetoventral\,L:\shahp2\VNC\VNC Objs\rigid_pluswarp\tABplppapaap,320,394,not really 2 cells I just added them to test the use case
ABplppapapa,ABplppapapa,cnd-1,l:\shahp2\VNC\OU415\20150316_closetoventral\,L:\shahp2\VNC\VNC Objs\rigid_pluswarp\tABplppapapa,320,394,change this to lowercase b to test case sensitivity
Abplppapapp,ABplppapapp,cnd-1,l:\shahp2\VNC\OU415\20150316_closetoventral\,L:\shahp2\VNC\VNC Objs\rigid_pluswarp\tABplppapapp,320,394,
Abplppappap cell body,ABplppappap,cnd-1,l:\shahp2\VNC\OU415\20150316_closetoventral\,L:\shahp2\VNC\VNC Objs\rigid_pluswarp\tABplppappap,320,394,not really no cells but using it to test case (should be 'other' matter by default)
ABplppapppa,ABplppapppa,cnd-1,l:\shahp2\VNC\OU415\20150316_closetoventral\,L:\shahp2\VNC\VNC Objs\rigid_pluswarp\tABplppapppa,320,394,left description blank as a test case
ABplppapppp,ABplppapppp,cnd-1,l:\shahp2\VNC\OU415\20150316_closetoventral\,L:\shahp2\VNC\VNC Objs\rigid_pluswarp\tABplppapppp,320,394,
ABprppapapa,ABprppapapa,cnd-1,l:\shahp2\VNC\OU415\20150316_closetoventral\,L:\shahp2\VNC\VNC Objs\rigid_pluswarp\tABprppapapa,320,394,
ABprppapapp,ABprppapapp,cnd-1,l:\shahp2\VNC\OU415\20150316_closetoventral\,L:\shahp2\VNC\VNC Objs\rigid_pluswarp\tABprppapapp,320,394,
ABprppappaa,ABprppappaa,cnd-1,l:\shahp2\VNC\OU415\20150316_closetoventral\,L:\shahp2\VNC\VNC Objs\rigid_pluswarp\tABprppappaa,320,394,
ABprppappap,ABprppappap,cnd-1,l:\shahp2\VNC\OU415\20150316_closetoventral\,L:\shahp2\VNC\VNC Objs\rigid_pluswarp\tABprppappap,320,394,
ABprppapppa,ABprppapppa,cnd-1,l:\shahp2\VNC\OU415\20150316_closetoventral\,L:\shahp2\VNC\VNC Objs\rigid_pluswarp\tABprppapppa,320,394,
ABprppapppp,ABprppapppp,cnd-1,l:\shahp2\VNC\OU415\20150316_closetoventral\,L:\shahp2\VNC\VNC Objs\rigid_pluswarp\tABprppapppp,320,394,
