Tag Name,Tag Contents,Tag Display,Attachment Type,xyz Locatoin,Cells,Marker,Imaging Source,Resource Location,Start Time,End Time,Comments,Visible,Author,Date,Color Scheme Url
Development of Early Nerve Ring Neurons,Depicts the development of early nerve ring neurons from birth to nerve ring closure. Neurons depicted express sfGPF driven by the lim-4 promoter. lim-4 expresses in 8 neuronal pairs during mid-embryonic development.,,,,,,,,,,,,Mark and Titas,,http://scene.wormguides.org/wormguides/testurlscript?/set/rivl-n$@+#ffff9966/rivr-n$@+#ffffe6b4/sibd-n$@+#ffe6ccff/siav-n$@+#ff99b3ff/view/timeProperty=343/rX=18.25/rY=29.0/rZ=0.0/tX=0.0/tY=0.0/scale=3.0/dim=0.25/browser/
Birth of SIBDL,First segmented lim-4 positive
cell born,sprite,cell,,ABplppaaaaa,,,,256,256,,,,,http://scene.wormguides.org/wormguides/testurlscript?/set/sibdl-n$@>+#ff664db3
Birth of SIAVR,lim-4
positive cell,sprite,cell,,ABprpapappa,,,,261,261,,,,,http://scene.wormguides.org/wormguides/testurlscript?/set/siavr-n$@>+#ff1a4d4d
Birth of RIVR,lim-4 positive cell,sprite,cell,,ABprpaapaaa,,,,265,265,,,,,http://scene.wormguides.org/wormguides/testurlscript?/set/rivr-n$@>+#ff990000
Birth of SIAVL,lim-4 positive cell,sprite,cell,,ABplpapappa,,,,267,267,,,,,
Birth of RIVL,lim-4 positive cell,sprite,cell,,ABplpaapaaa,,,,269,269,,,,,
Birth of SIBDR,lim-4 positive cell,sprite,cell,,ABprppaaaaa,,,,269,269,,,,,
Detection of lim-4 Expression,This is the first instance when the expression is strong enough to allow for proper segmentation.,overlay,,,,,,,332,332,,,,,
Neurite Outgrowth of SIAVL Begins,Possibly earlier and not visible till now.,sprite,cell,,ABplpapappa,,,,350,350,,,,,
Fasicle Formed Between SIAVL and SIBDL,Presence of two cells indicated by striping.,sprite,structure,,lim4_bundle_left,,,,355,360,,,,,
Lim-4 expression is found in 8 neuron pairs,This story highlights development of 3 of those 8 pairs,overlay,,,,,,,363,373,,,,,http://scene.wormguides.org/wormguides/testurlscript?/set/lim4_bundle_left-M+#ff330033/lim4_bundle_right-M+#ff330033/lim4_nerve_ring_left_early-M+#ff330033/lim4_nerve_ring_right_early-M+#ff330033/lim4_nerve_ring-M+#ff330033/lim4-m$@+#ff9980e6
Neurite Outgrowth of RIVL,first visible outgrowth,sprite,cell,,ABplpaapaaa,,,,362,364,,,,,
Nerve Ring Closure Complete,Occurs between comma and 1.5 fold stages of development. RIV and SMDV present.,sprite,cell,,ABplpaapaaa,,,,401,419,,,,,
